"
kilometerne DEF-PL-NOUN_infl_rule kilometer
menn INDEF-PL-M1-NOUN_infl_rule mann
mennene DEF-PL-NOUN_infl_rule mann
novemberen DEF-COMM-NOUN-M1-M2_infl_rule november
november DEF-COMM-NOUN-M1-M2_infl_rule november
januaren DEF-COMM-NOUN-M1-M2_infl_rule januar
januar DEF-COMM-NOUN-M1-M2_infl_rule januar
februaren DEF-COMM-NOUN-M1-M2_infl_rule februar
februar DEF-COMM-NOUN-M1-M2_infl_rule februar
marsen DEF-COMM-NOUN-M1-M2_infl_rule mars
mars DEF-COMM-NOUN-M1-M2_infl_rule mars
aprilen DEF-COMM-NOUN-M1-M2_infl_rule april
april DEF-COMM-NOUN-M1-M2_infl_rule april
maien DEF-COMM-NOUN-M1-M2_infl_rule mai
mai DEF-COMM-NOUN-M1-M2_infl_rule mai
junien DEF-COMM-NOUN-M1-M2_infl_rule juni
juni DEF-COMM-NOUN-M1-M2_infl_rule juni
julien DEF-COMM-NOUN-M1-M2_infl_rule juli
juli DEF-COMM-NOUN-M1-M2_infl_rule juli
augusten DEF-COMM-NOUN-M1-M2_infl_rule august
august DEF-COMM-NOUN-M1-M2_infl_rule august
septemberen DEF-COMM-NOUN-M1-M2_infl_rule september
september DEF-COMM-NOUN-M1-M2_infl_rule september
oktoberen DEF-COMM-NOUN-M1-M2_infl_rule oktober
oktober DEF-COMM-NOUN-M1-M2_infl_rule oktober
desemberen DEF-COMM-NOUN-M1-M2_infl_rule desember
desember DEF-COMM-NOUN-M1-M2_infl_rule desember
lyd INDEF-PL-M1-NOUN_infl_rule lyd
lyder INDEF-PL-M1-NOUN_infl_rule lyd
kilometer INDEF-PL-M2-NOUN_infl_rule kilometer
kilometre INDEF-PL-M2-NOUN_infl_rule kilometer
chips INDEF-PL-M1-NOUN_infl_rule chips
is INDEF-PL-M1-NOUN_infl_rule is
iser INDEF-PL-M1-NOUN_infl_rule is
espresso INDEF-PL-M1-NOUN_infl_rule espresso
macchiato INDEF-PL-M1-NOUN_infl_rule macchiato
cortado INDEF-PL-M1-NOUN_infl_rule cortado
øl INDEF-PL-M1-NOUN_infl_rule øl
pils INDEF-PL-M1-NOUN_infl_rule pils
brus INDEF-PL-M1-NOUN_infl_rule brus
kaffe INDEF-PL-M1-NOUN_infl_rule kaffe
iskaffe INDEF-PL-M1-NOUN_infl_rule iskaffe
boken DEF-COMM-NOUN-M1-M2_infl_rule bok
bøker INDEF-PL-M1-NOUN_infl_rule bok
bøkene DEF-PL-NOUN_infl_rule pensumbok
