"
chips INDEF-PL-M1-NOUN chips
is INDEF-PL-M1-NOUN is
iser INDEF-PL-M1-NOUN is
espresso INDEF-PL-M1-NOUN espresso
macchiato INDEF-PL-M1-NOUN macchiato
cortado INDEF-PL-M1-NOUN cortado
øl INDEF-PL-M1-NOUN øl
pils INDEF-PL-M1-NOUN pils
brus INDEF-PL-M1-NOUN brus
kaffe INDEF-PL-M1-NOUN kaffe
iskaffe INDEF-PL-M1-NOUN iskaffe
boken DEF-COMM-NOUN-M1-M2 bok
bøker INDEF-PL-M1-NOUN bok
bøkene DEF-PL-NOUN bok
føtter INDEF-PL-M1-NOUN fot
føttene DEF-PL-NOUN fot
kuer INDEF-PL-M1-NOUN ku
kuene DEF-PL-NOUN ku
kyr INDEF-PL-M1-NOUN ku
kyrne DEF-PL-NOUN ku
tre INDEF-PL-N1 tre
treene DEF-PL-NOUN tre
trær INDEF-PL-N1 tre
trærne DEF-PL-NOUN tre
størst SUP-SAT-ADJ stor
største SUP-UNSAT-ADJ stor
største SUP-ADJ-NUDE stor
større COMP-ADJ stor
yngst SUP-SAT-ADJ ung
yngste SUP-UNSAT-ADJ ung
yngste SUP-ADJ-NUDE ung
yngre COMP-ADJ ung
lite SG-NEUT-ADJ liten
lite INFL-ADJ-ADV liten
lille DEF-ADJ liten
små INDEF-PL-ADJ liten
mindre COMP-ADJ liten
minst SUP-SAT-ADJ liten
minste SUP-SAT-ADJ liten
gamle DEF-ADJ gammel
gamle INDEF-PL-ADJ gammel
eldre COMP-ADJ gammel
eldst SUP-SAT-ADJ gammel
eldste SUP-UNSAT-ADJ gammel
eldste SUP-ADJ-NUDE gammel
best SUP-SAT-ADJ god
beste SUP-UNSAT-ADJ god
beste SUP-ADJ-NUDE god
bedre COMP-ADJ god
flest SUP-SAT-ADJ mange
fleste SUP-UNSAT-ADJ mange
fleste SUP-ADJ-NUDE mange
flere COMP-ADJ mange
færrest SUP-SAT-ADJ få
færreste SUP-UNSAT-ADJ få
færreste SUP-ADJ-NUDE få
færre COMP-ADJ få
eget SG-NEUT-ADJ egen
eget INFL-ADJ-ADV egen
egen DEF-ADJ egen
egne INDEF-PL-ADJ egen
nytt SG-NEUT-ADJ ny
nytt INFL-ADJ-ADV ny
modnere COMP-ADJ moden
modnest SUP-SAT-ADJ moden
modneste SUP-UNSAT-ADJ moden
modneste SUP-ADJ-NUDE moden
anså PRET-V1 anse
ansett PPART-V1 anse
ankom PRET-V1 ankomme
ankommet PPART-V1 ankomme
arbeidde PRET-V1 arbeide
arbeidd PPART-V1 arbeide
avhang PRET-V1 avhenge
avhunget PPART-V1 avhenge
avstod PRET-V1 avstå
avstått PPART-V1 avstå
bad PRET-V1 be
bedt PPART-V1 be
begravde PRET-V1 begrave
begravd PPART-V1 begrave
begrov PRET-V1 begrave
begravd PPART-V1 begrave
begynte PRET-V2 begynne
begynt PPART-V2 begynne
beløp PRET-V1 beløpe
beløpt PPART-V1 beløpe
bemøyde PRET-V1 bemøye
bemøyd PPART-V1 bemøye
ble PRET-V1 bli
blitt PPART-V1 bli
blei PRET-V1 bli
blitt PPART-V1 bli
vart PRET-V1 bli
blitt PPART-V1 bli
bodde PRET-V1 bo
bodd PPART-V1 bo
bredde PRET-V1 bre
bredd PPART-V1 bre
bredde PRET-V1 bre
bredd PPART-V1 bre
bredte PRET-V1 bre
bredt PPART-V1 bre
brente PRET-V1 brenne
brent PPART-V1 brenne
bygde PRET-V1 bygge
bygget PRET-V1 bygge
bygd PPART-V1 bygge
bygget PPART-V1 bygge
dro PRET-V1 dra
dratt PPART-V1 dra
drog PRET-V1 dra
dradd PPART-V1 dra
drog PRET-V1 dra
dratt PPART-V1 dra
draff PRET-V1 drikke
druffet PPART-V1 drikke
drypte PRET-V1 dryppe
drypt PPART-V1 dryppe
fant PRET-V1 finne
funnet PPART-V1 finne
fjernsynsprogrammet DEF-SG-NOUN-NEUT fjernsynsprogram
fjernsynsprogrammene DEF-PL-NEUT-NOUN fjernsynsprogram
foretraff PRET-V1 foretrekke
foretruffet PPART-V1 foretrekke
foretralp PRET-V1 foretrekke
foretrulpet PPART-V1 foretrekke
forsvant PRET-V1 forsvinne
forsvunnet PPART-V1 forsvinne
fortsatte PRET-V2 fortsette
fortsatt PPART-V2 fortsette
framhevde PRET-V1 framheve
framhevd PPART-V1 framheve
framstod PRET-V1 framstå
framstått PPART-V1 framstå
framsto PRET-V1 framstå
framstått PPART-V1 framstå
fikk PRET-V1 få
fått PPART-V1 få
fødde PRET-V1 føde
fødd PPART-V1 føde
fødde PRET-V1 føde
fødd PPART-V1 føde
gav PRET-V1 gi
gitt PPART-V1 gi
gav PRET-V1 gi
gitt PPART-V1 gi
ga PRET-V1 gi
gjorde PRET-V1 gjøre
gjort PPART-V1 gjøre
gledde PRET-V1 glede
gledd PPART-V1 glede
glemte PRET-V1 glemme
glemt PPART-V1 glemme
gikk PRET-V1 gå
gått PPART-V1 gå
hang PRET-V1 henge
hunget PPART-V1 henge
hogde PRET-V1 hogge
hogd PPART-V1 hogge
holdt PRET-V1 holde
holdt PPART-V1 holde
hygde PRET-V1 hygge
hygd PPART-V1 hygge
kalte PRET-V1 kalle
kalt PPART-V1 kalle
kjente PRET-V1 kjenne
kjent PPART-V1 kjenne
kledde PRET-V1 kle
kledd PPART-V1 kle
klipte PRET-V1 klippe
klipt PPART-V1 klippe
kom PRET-V1 komme
kommet PPART-V1 komme
kom PRET-V1 komme
kommet PPART-V1 komme
kvapp PRET-V1 kvekke
kvekket PPART-V1 kvekke
kvekte PRET-V1 kvekke
kvekt PPART-V1 kvekke
ladde PRET-V1 la
ladd PPART-V1 la
lagde PRET-V1 lage
lagd PPART-V1 lage
lot PRET-V1 late
latt PPART-V1 late
la PRET-V1 legge
lagt PPART-V1 legge
lå PRET-V1 ligge
ligget PPART-V1 ligge
leit PRET-V1 lite
litt PPART-V1 lite
leit PRET-V1 lite
litt PPART-V1 lite
lovde PRET-V1 love
lovd PPART-V1 love
lovet PRET-V1 love
lovet PPART-V1 love
løp PRET-V1 løpe
løpt PPART-V1 løpe
mot PRET-V1 male
malt PPART-V1 male
nedlot PRET-V1 nedlate
nedlatt PPART-V1 nedlate
nådde PRET-V1 nå
nådd PPART-V1 nå
ombestemte PRET-V2 ombestemme
ombestemt PPART-V2 ombestemme
opphøyde PRET-V1 opphøye
opphøyd PPART-V1 opphøye
opplevde PRET-V1 oppleve
opplevd PPART-V1 oppleve
overlot PRET-V1 overlate
overlatt PPART-V1 overlate
plagde PRET-V1 plage
plagd PPART-V1 plage
planla PRET-V1 planlegge
planlagt PPART-V1 planlegge
prøvde PRET-V1 prøve
prøvd PPART-V1 prøve
påla PRET-V1 pålegge
pålagt PPART-V1 pålegge
rakk PRET-V1 rekke
rukket PPART-V1 rekke
rakte PRET-V1 rekke
rakt PPART-V1 rekke
rekte PRET-V1 rekke
rekt PPART-V1 rekke
rydde PRET-V1 ry
rydd PPART-V1 ry
samrådde PRET-V1 samrå
samrådd PPART-V1 samrå
så PRET-V1 se
sett PPART-V1 se
satte PRET-V1 sette
satt PPART-V1 sette
sa PRET-V1 si
sagt PPART-V1 si
sapp PRET-V1 sitte
sittet PPART-V1 sitte
skilte PRET-V1 skille
skilt PPART-V1 skille
skjedde PRET-V1 skje
skjedd PPART-V1 skje
skrev PRET-V1 skrive
skrevet PPART-V1 skrive
skreiv PRET-V1 skrive
skrevet PPART-V1 skrive
slo PRET-V1 slå
slått PPART-V1 slå
snødde PRET-V1 snø
snødd PPART-V1 snø
sov PRET-V1 sove
sovet PPART-V1 sove
stod PRET-V1 stå
stått PPART-V1 stå
sådde PRET-V1 så
sådd PPART-V1 så
tok PRET-V1 ta
tatt PPART-V1 ta
tedde PRET-V1 te
tedd PPART-V1 te
tilkom PRET-V1 tilkomme
tilkommet PPART-V1 tilkomme
trådte PRET-V1 tre
trådt PPART-V1 tre
trodde PRET-V1 tro
trodd PPART-V1 tro
veide PRET-V1 veie
veid PPART-V1 veie
verdsatte PRET-V2 verdsette
verdsatt PPART-V2 verdsette
vinte PRET-V1 vinne
vint PPART-V1 vinne
vant PRET-V1 vinne
vunnet PPART-V1 vinne
snø VERB-IMP snø
buldre VERB-IMP buldre
regn VERB-IMP regne
drypp VERB-IMP dryppe
hopp VERB-IMP hoppe
opphøy VERB-IMP opphøye
hogg VERB-IMP hogge
kombiner VERB-IMP kombinere
utstrål VERB-IMP utstråle
begrav VERB-IMP begrave
blås VERB-IMP blåse
begynn VERB-IMP begynne
hold VERB-IMP holde
hold VERB-IMP holde
art VERB-IMP arte
kvekk VERB-IMP kvekke
rable VERB-IMP rable
tykne VERB-IMP tykne
kom VERB-IMP komme
skje VERB-IMP skje
ankom VERB-IMP ankomme
stek VERB-IMP steke
gjeld VERB-IMP gjelde
eksister VERB-IMP eksistere
finnes VERB-IMP finnes
rull VERB-IMP rulle
smelt VERB-IMP smelte
trill VERB-IMP trille
skraml VERB-IMP skramle
løp VERB-IMP løpe
ligg VERB-IMP ligge
jobb VERB-IMP jobbe
smil VERB-IMP smile
spaser VERB-IMP spasere
smash VERB-IMP smashe
spis VERB-IMP spise
øk VERB-IMP øke
le VERB-IMP le
arbeid VERB-IMP arbeide
lek VERB-IMP leke
ry VERB-IMP ry
sov VERB-IMP sove
slingr VERB-IMP slingre
krek VERB-IMP kreke
krangle VERB-IMP krangle
labb VERB-IMP labbe
frys VERB-IMP fryse
forsvinn VERB-IMP forsvinne
tilkom VERB-IMP tilkomme
kakk VERB-IMP kakke
stol VERB-IMP stole
tru VERB-IMP true
tvil VERB-IMP tvile
se VERB-IMP se
se VERB-IMP se
se VERB-IMP se
lengt VERB-IMP lengte
bo VERB-IMP bo
lat VERB-IMP late
lat VERB-IMP late
framstå VERB-IMP framstå
avheng VERB-IMP avhenge
livn VERB-IMP livne
fyr VERB-IMP fyre
beundre VERB-IMP beundre
observer VERB-IMP observere
la VERB-IMP la
foretrekk VERB-IMP foretrekke
fang VERB-IMP fange
hent VERB-IMP hente
klipp VERB-IMP klippe
spørr VERB-IMP spørre
diskuter VERB-IMP diskutere
brenn VERB-IMP brenne
irriter VERB-IMP irritere
mangle VERB-IMP mangle
gå VERB-IMP gå
baser VERB-IMP basere
beløp VERB-IMP beløpe
åpenbar VERB-IMP åpenbare
by VERB-IMP by
sett VERB-IMP sette
følg VERB-IMP følge
finn VERB-IMP finne
ta VERB-IMP ta
besøk VERB-IMP besøke
ans VERB-IMP anse
kle VERB-IMP kle
dress VERB-IMP dresse
kjenn VERB-IMP kjenne
kall VERB-IMP kalle
verdsett VERB-IMP verdsette
sett VERB-IMP sette
kasser VERB-IMP kassere
kak VERB-IMP kake
klamre VERB-IMP klamre
kanaliser VERB-IMP kanalisere
skrubb VERB-IMP skrubbe
bemektig VERB-IMP bemektige
be VERB-IMP be
tenk VERB-IMP tenke
kyl VERB-IMP kyle
ombestem VERB-IMP ombestemme
samrå VERB-IMP samrå
skam VERB-IMP skamme
bemøy VERB-IMP bemøye
nedlat VERB-IMP nedlate
lur VERB-IMP lure
avstå VERB-IMP avstå
frastå VERB-IMP frastå
bytt VERB-IMP bytte
moduler VERB-IMP modulere
bytt VERB-IMP bytte
arv VERB-IMP arve
få VERB-IMP få
konstruer VERB-IMP konstruere
absorber VERB-IMP absorbere
vent VERB-IMP vente
gled VERB-IMP glede
forsyn VERB-IMP forsyne
anfør VERB-IMP anføre
saml VERB-IMP samle
legg VERB-IMP legge
forlov VERB-IMP forlove
speil VERB-IMP speile
avtegn VERB-IMP avtegne
snakk VERB-IMP snakke
flytt VERB-IMP flytte
fød VERB-IMP føde
mal VERB-IMP male
drikk VERB-IMP drikke
gasjer VERB-IMP gasjere
gjør VERB-IMP gjøre
