# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
2690	frykte
2682	oppfatte
2659	behandle
2655	blunke
2648	forundre
2632	bite
2622	ordne
2617	velte
2616	bestille
2595	forandre*seg
2584	overleve
2584	sette*opp
2581	vinke
2581	tegne
2572	fôre
2572	være*med*på
2571	slappe*av
2562	stønne
2559	skuffe
2558	dreie*seg*om
2557	kaste*seg
2553	svømme
2549	støtte
2548	røre&move*seg
2504	tilgi
2497	hjelpe*med
2485	brøle
2478	se*seg*rundt
2477	stå*på
2444	seile
2432	prate
2427	le*av
2408	påstå
2387	sjekke
2386	protestere
2386	strekke
2384	fungere
2377	ta tid
2370	lære&teach
2367	late
2365	telle
2352	komme*på
2349	løsne
2348	gjemme*seg
2335	rødme
2332	avslutte
2311	skaffe
2308	oppføre*seg
2306	irritere
2301	levere
2300	reise&raise
2299	tilbringe
2295	stråle
2292	passe
2287	bli*til
2284	røre&touch
2282	senke
2278	svare*på
2274	tømme
2273	flire
2260	forskrekke
2253	løse
2249	fortjene
2243	ligne*på
2241	ende
2234	pakke
2226	ønske*seg
2225	anta
2210	stenge
2200	beskrive
2199	tvinge*til
2198	hyle
2186	si*om
2185	fatte
2174	få*seg
2167	overta
2163	løfte*opp
2161	takke*for
2153	beskytte
2151	regne&rain
2143	lande
2127	jage
2124	stelle
2120	hilse*på
2106	ta*av
2106	slukke
2105	nytte
2101	begynne*på
2087	skimte
2074	ta#feil
2072	granske
2068	forstyrre
2054	legge*på
2050	syne&show
2050	dirre
2048	svikte
2039	låne&borrow
2032	vurdere
2029	tale
2025	late*til
2023	avsløre
2023	slite
2017	oppstå
2017	gjøre*til
2012	koke
2009	reagere
2005	overbevise*om
2002	holde*på*med
2002	krysse
2000	legge*fra*seg
1995	svi
1995	sive
1991	trille
1977	eksistere
1965	registrere
1963	grave
1963	dunke
1962	tilby
1958	binde
1958	rette*seg*opp
1957	vri*seg
1953	røpe
1951	parkere
1944	putte
1941	vokse*opp
1927	servere
1923	ta*ut
1921	bekrefte
1918	dempe
1916	utføre
1916	styrte
1906	samle*seg
1904	stivne
1890	ta*frem
1889	bekymre
1885	ramme
1882	forlange
1880	lukke*seg
1878	åpne*seg
1873	gni
1871	strømme
1870	kjenne&feel
1870	gå*av
1869	reise&raise*seg*opp
1863	verke
1856	erte
1853	rynke
1853	tvinge
1850	forvirre
1846	godta
1845	leie
1840	ta*på
1836	snike*seg
1832	ta*fra
1822	røyke
1821	bla
1819	lære&learn*seg
1814	oppsøke
1808	hevde
1804	forbause
1797	slå*seg
1795	lengte*etter
1792	rydde
1792	tvile*på
1788	overlate
1786	bade
1785	avgjøre
1784	leke*med
1780	liste*seg
1773	såre
1765	bestemme*seg
1762	gå*med
1761	plukke*opp
1758	smelle
1754	vare&warn
1752	vri
1744	spare
1732	stramme
1732	begynne*med
1731	brekke
1730	slåss
1729	tillate
1716	lide&suffer
1708	innbille*seg
1706	sette*fra*seg
1703	gløde
1701	beundre
1698	tenke*over
1698	så
1697	regne&calc
1696	skrive*om
1693	drukne
1693	unnskylde
1690	glede*seg*til
1689	oppnå
1684	kjennes
1683	dukke
1680	sprette
1676	skaffe*seg
1676	blinke
1675	rusle
1661	begrave
1658	trekke*seg*tilbake
1658	gjette
1656	sette*i gang
1649	klage
1649	kremte
1648	avvise
1647	gidde
1646	skylde
1645	røre&touch*ved
1644	dømme
1642	kvele
1640	imponere
1637	få*med*seg
1636	bytte
1618	banne
1614	motta
1614	hjelpe*til
1605	foretrekke
1602	akseptere
1600	sette*på
1597	flykte
1591	mene_subjeq
1591	feire
1590	konsentrere*seg*om
1588	plukke
1579	hugge
1579	ha*på
1571	flytte*seg
1570	rope*på
1568	gispe
1564	ro
1563	forme
1560	ta&touch*på
1559	trekke*opp
1550	få*det
1549	skjenke
1545	utvikle
1541	sveve
1540	gjenkjenne
1535	uttrykke
1530	briste
1526	berøre
1523	ta*seg*sammen
1523	vifte
1521	by
1521	rømme
